,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,0.279,0.0,0.25,0.5,0.25,0.0,0.4,False
1,1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Freddy Peralta,0,American Family Field,18,642547,4.37,7.42,10.84,1.14,0.219,0.313,0.25,0.25,0.25,1.0,0.25,True
2,2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Freddy Peralta,0,American Family Field,18,642547,4.37,7.42,10.84,1.14,0.219,0.429,0.0,0.0,0.25,0.25,1.0,True
3,3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Vladimir Gutierrez,1,Dodger Stadium,17,661269,7.61,11.29,7.12,1.91,0.313,0.333,0.4,0.4,0.5,0.2,0.0,False
4,4,4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Carlos Rodon,1,Progressive Field,7,607074,2.95,6.87,11.29,1.07,0.209,0.244,0.75,0.6,0.25,0.75,0.25,True
5,5,5,5,5,5,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Zach Davies,1,Citi Field,22,605200,4.03,7.86,6.83,1.22,0.233,0.5,0.25,0.25,0.25,0.333,0.333,True
6,6,6,6,6,6,7,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Jordan Lyles,0,Oriole Park at Camden Yards,30,543475,4.35,10.01,7.25,1.44,0.279,0.308,0.25,0.5,0.667,0.0,0.0,True
7,7,7,7,7,7,8,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Freddy Peralta,0,American Family Field,18,642547,4.37,7.42,10.84,1.14,0.219,0.214,0.5,0.5,0.5,0.333,0.25,True
8,8,8,8,8,8,9,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Marco Gonzales,0,T-Mobile Park,27,594835,3.98,9.63,5.21,1.39,0.274,0.417,0.4,0.0,0.0,0.25,0.0,False
9,9,9,9,9,9,10,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Reid Detmers,1,Globe Life Field,14,672282,3.44,6.27,8.29,1.04,0.196,0.333,0.5,0.0,0.2,0.4,0.5,True
