,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.333,0.5,0.75,0.25,0.333,0.0,False
1,1,1,1,1,1,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Michael Kopech,0.0,Guaranteed Rate Field,23.0,656629,3.38,6.66,7.75,1.23,0.204,0.2,0.333,0.2,0.333,0.25,0.0,False
2,2,2,2,2,2,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Kyle Hendricks,1.0,Petco Park,31.0,543294,4.8,9.07,7.04,1.29,0.26,0.444,0.5,0.333,0.667,0.667,0.0,True
3,3,3,3,3,3,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.353,0.4,0.25,0.4,0.667,0.25,True
4,4,4,4,4,4,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.5,0.0,0.667,0.0,0.25,0.25,True
5,5,5,5,5,5,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.333,0.25,0.2,0.0,0.667,0.0,True
6,6,6,6,6,6,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Michael Kopech,0.0,Guaranteed Rate Field,23.0,656629,3.38,6.66,7.75,1.23,0.204,0.0,0.333,0.0,0.5,0.5,0.5,True
7,7,7,7,7,8,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Zach Plesac,1.0,Guaranteed Rate Field,23.0,668676,4.49,9.39,6.9,1.35,0.262,0.25,0.25,0.4,0.25,0.5,0.0,False
8,8,8,8,8,9,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Kyle Hendricks,1.0,Petco Park,31.0,543294,4.8,9.07,7.04,1.29,0.26,0.0,0.333,0.25,0.0,0.25,0.0,False
9,9,9,9,9,10,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.0,0.667,0.0,0.0,0.5,0.333,False
