,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Jordan Lyles,1.0,Yankee Stadium,6.0,543475,4.35,10.01,7.25,1.44,0.279,0.0,0.25,0.75,0.333,0.333,0.0,True
1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Jose Berrios,1.0,Busch Stadium,15.0,621244,5.19,9.92,8.16,1.35,0.275,0.0,0.5,0.0,0.0,0.0,0.5,True
2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Jose Berrios,1.0,Busch Stadium,15.0,621244,5.19,9.92,8.16,1.35,0.275,0.333,0.8,0.25,0.75,0.2,0.6,True
3,3,3,3,3,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Luis Garcia,0.0,Minute Maid Park,32.0,472610,3.51,8.78,9.44,1.27,0.252,0.0,0.0,0.5,0.25,0.0,0.25,True
4,4,4,4,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Zack Wheeler,1.0,Truist Park,12.0,554430,2.63,7.25,9.73,1.03,0.218,0.138,0.25,0.25,0.25,0.25,0.333,True
5,5,5,5,5,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Triston McKenzie,1.0,Minute Maid Park,32.0,663474,3.16,6.33,8.51,0.96,0.197,0.333,0.25,0.5,0.0,0.0,0.5,False
6,6,6,6,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Adrian Houser,1.0,Petco Park,31.0,605288,4.72,9.67,6.72,1.48,0.271,0.0,1.0,0.2,0.6,0.4,0.25,False
7,7,7,7,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Alex Cobb,0.0,Oracle Park,9.0,502171,4.15,8.87,9.64,1.29,0.253,0.3,0.5,0.2,0.0,0.667,0.5,True
8,8,8,8,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Zack Wheeler,1.0,Truist Park,12.0,554430,2.63,7.25,9.73,1.03,0.218,0.19,0.0,0.0,0.0,0.4,0.0,True
9,9,9,9,9,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Tucker Davidson,0.0,Truist Park,12.0,656353,13.5,13.5,2.25,2.75,0.333,0.333,0.0,0.0,0.25,0.0,0.25,True
10,10,10,10,10,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Jordan Lyles,1.0,Yankee Stadium,6.0,543475,4.35,10.01,7.25,1.44,0.279,0.316,0.0,0.0,0.25,0.4,0.25,False
11,11,11,11,11,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Jose Berrios,1.0,Busch Stadium,15.0,621244,5.19,9.92,8.16,1.35,0.275,0.333,0.5,0.4,0.4,0.25,0.0,False
12,12,12,12,12,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Triston McKenzie,1.0,Minute Maid Park,32.0,663474,3.16,6.33,8.51,0.96,0.197,0.667,0.5,0.0,0.8,0.25,0.25,True
