,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.0,0.4,0.0,0.0,0.25,0.0,True
1,1,1,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.25,0.25,0.2,0.25,0.25,0.8,True
2,2,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Alex Wood,1.0,Truist Park,12.0,622072,4.17,8.73,8.81,1.2,0.254,0.125,0.25,0.4,0.25,0.5,0.333,True
3,3,3,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.0,0.5,0.333,0.0,0.5,0.25,True
4,4,6,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.125,0.0,0.5,0.333,0.0,0.2,True
5,5,7,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.0,0.333,0.667,0.0,0.2,0.0,False
6,6,8,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.167,0.0,0.25,0.25,0.5,0.0,True
7,7,9,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.0,0.25,0.4,0.25,0.0,0.5,True
8,8,11,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Robbie Ray,1.0,Oakland Coliseum,19.0,592662,3.96,7.63,10.34,1.19,0.229,0.333,0.5,0.0,0.75,0.0,0.25,False
9,9,13,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.0,0.0,0.0,0.0,0.25,0.6,False
10,10,14,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.5,0.333,0.0,0.667,0.0,0.25,True
11,11,15,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.0,0.667,0.667,0.25,0.333,0.333,True
12,12,16,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.5,0.0,0.333,0.25,0.0,0.5,True
13,13,17,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Ranger Suarez,1.0,Petco Park,31.0,624133,3.68,8.97,7.62,1.37,0.258,1.0,1.0,0.0,0.0,0.2,0.2,False
14,14,18,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Dakota Hudson,1.0,American Family Field,18.0,641712,4.2,8.57,4.8,1.39,0.262,0.0,0.0,0.25,0.5,0.2,0.2,True
15,15,19,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Justin Steele,1.0,PNC Park,10.0,657006,3.67,8.66,9.13,1.41,0.247,1.0,0.25,0.0,0.0,0.4,0.25,True
16,16,20,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.0,0.25,0.0,0.25,1.0,0.0,False
17,17,21,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.5,0.5,0.25,0.667,0.667,0.25,True
18,18,22,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.545,0.25,0.6,0.0,0.25,0.25,False
19,19,23,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Zach Plesac,1.0,Target Field,26.0,668676,4.49,9.39,6.9,1.35,0.262,0.375,0.0,0.4,0.25,1.0,0.5,False
20,20,24,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Ranger Suarez,1.0,Petco Park,31.0,624133,3.68,8.97,7.62,1.37,0.258,0.0,0.2,0.25,0.5,0.25,0.25,True
21,21,25,15518,Amed Rosario,CLE,26,0.29,0.324,0.417,0.8240000000000001,642708,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.0,0.8,0.2,0.0,0.333,0.2,True
22,22,26,15112,Ryan McMahon,COL,27,0.242,0.339,0.397,0.752,641857,115,Braxton Garrett,0.0,loanDepot park,20.0,666129,4.02,8.76,9.91,1.2,0.25,0.0,0.25,0.75,0.0,1.0,0.0,True
23,23,27,14344,Matt Olson,ATL,28,0.248,0.338,0.48,0.738,621566,144,Alex Wood,1.0,Truist Park,12.0,622072,4.17,8.73,8.81,1.2,0.254,0.167,0.25,0.4,0.0,1.0,0.0,False
24,24,28,12546,C.J. Cron,COL,32,0.28,0.33,0.514,0.778,543068,115,Braxton Garrett,0.0,loanDepot park,20.0,666129,4.02,8.76,9.91,1.2,0.25,0.0,0.0,0.6,0.75,0.25,0.6,False
25,25,30,11477,Christian Yelich,MIL,30,0.262,0.365,0.39,0.7829999999999999,592885,158,Dakota Hudson,1.0,American Family Field,18.0,641712,4.2,8.57,4.8,1.39,0.262,0.25,0.4,0.333,0.0,0.0,0.4,True
26,26,31,16478,Kyle Schwarber,PHI,29,0.207,0.31,0.499,0.72,656941,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.077,0.25,0.25,0.25,0.0,0.25,True
27,27,32,14162,Carlos Correa,MIN,27,0.265,0.342,0.431,0.7829999999999999,621043,142,Zach Plesac,1.0,Target Field,26.0,668676,4.49,9.39,6.9,1.35,0.262,0.667,0.4,0.2,0.0,0.4,0.0,True
28,28,33,12144,Max Kepler,MIN,29,0.233,0.331,0.373,0.813,596146,142,Zach Plesac,1.0,Target Field,26.0,668676,4.49,9.39,6.9,1.35,0.262,0.2,0.333,0.2,0.0,0.4,0.333,False
29,29,34,17907,Brendan Rodgers,COL,25,0.284,0.334,0.432,0.785,663898,115,Braxton Garrett,0.0,loanDepot park,20.0,666129,4.02,8.76,9.91,1.2,0.25,1.0,0.25,0.25,0.2,0.0,0.0,True
30,30,35,16997,Gleyber Torres,NYY,25,0.254,0.306,0.45,0.741,650402,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.4,0.0,0.0,0.25,0.6,0.5,False
31,31,36,15491,J.P. Crawford,SEA,27,0.255,0.331,0.354,0.875,641487,136,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.25,0.5,0.0,0.25,0.0,0.25,False
32,32,37,19326,Bryan Reynolds,PIT,27,0.257,0.343,0.449,0.752,668804,134,Justin Steele,1.0,PNC Park,10.0,657006,3.67,8.66,9.13,1.41,0.247,0.25,0.667,0.333,0.667,0.25,0.0,True
33,33,38,18171,Seth Brown,OAK,29,0.238,0.295,0.463,0.732,664913,133,Robbie Ray,1.0,Oakland Coliseum,19.0,592662,3.96,7.63,10.34,1.19,0.229,0.667,0.25,0.75,0.0,0.0,0.25,True
34,34,40,8709,Elvis Andrus,OAK,33,0.24,0.302,0.371,0.81,462101,133,Robbie Ray,1.0,Oakland Coliseum,19.0,592662,3.96,7.63,10.34,1.19,0.229,0.2,0.0,0.0,0.0,0.5,0.0,False
35,35,41,15279,Garrett Cooper,MIA,31,0.275,0.348,0.424,0.7959999999999999,643265,146,Kyle Freeland,1.0,loanDepot park,20.0,607536,4.56,9.5,6.66,1.36,0.272,0.0,0.5,0.2,0.25,0.25,0.5,True
36,36,42,17620,Myles Straw,CLE,27,0.214,0.292,0.272,0.892,664702,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.0,0.5,0.0,0.25,0.0,0.0,False
37,37,43,13602,Patrick Wisdom,CHC,30,0.22,0.315,0.443,0.6659999999999999,621550,112,Jose Quintana,0.0,PNC Park,10.0,500779,1.5,1.5,10.5,0.5,0.056,0.0,0.5,0.667,0.0,0.0,0.0,True
38,38,44,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Frankie Montas,0.0,Oakland Coliseum,19.0,593423,18.0,15.0,6.0,2.67,0.385,0.4,0.0,0.0,0.0,0.0,1.0,True
39,39,45,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,Kyle Freeland,1.0,loanDepot park,20.0,607536,4.56,9.5,6.66,1.36,0.272,0.4,0.5,0.25,0.5,0.5,0.0,True
40,40,46,14813,Kyle Farmer,CIN,31,0.252,0.326,0.368,0.8240000000000001,571657,113,Clayton Kershaw,1.0,Great American Ball Park,8.0,477132,2.64,7.28,9.28,0.98,0.218,0.0,0.75,0.0,0.0,0.25,0.667,True
41,41,47,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.475,0.797,642133,158,Dakota Hudson,1.0,American Family Field,18.0,641712,4.2,8.57,4.8,1.39,0.262,0.25,0.5,0.0,0.25,0.333,0.25,False
42,42,48,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Zach Plesac,1.0,Target Field,26.0,668676,4.49,9.39,6.9,1.35,0.262,0.25,0.75,0.0,0.0,0.25,0.25,True
43,43,49,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Framber Valdez,1.0,Yankee Stadium,6.0,664285,2.87,7.13,8.0,1.15,0.217,0.167,0.0,0.5,0.2,0.0,0.5,True
44,44,51,24655,Owen Miller,CLE,25,0.238,0.296,0.359,0.8370000000000001,680911,114,Devin Smeltzer,0.0,Target Field,26.0,656970,4.02,8.47,5.31,1.21,0.25,0.5,0.25,0.4,0.0,0.0,0.5,False
45,45,52,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,Dakota Hudson,1.0,American Family Field,18.0,641712,4.2,8.57,4.8,1.39,0.262,0.125,0.5,0.0,0.0,0.5,0.667,True
46,46,53,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,Kyle Freeland,1.0,loanDepot park,20.0,607536,4.56,9.5,6.66,1.36,0.272,0.545,0.25,0.5,0.25,0.4,0.0,True
47,47,54,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Jameson Taillon,0.0,Yankee Stadium,6.0,592791,3.95,8.5,7.76,1.14,0.246,0.0,0.0,0.0,0.0,0.0,1.0,True
48,48,55,5760,Avisail Garcia,MIA,31,0.232,0.269,0.322,0.654,541645,146,Kyle Freeland,1.0,loanDepot park,20.0,607536,4.56,9.5,6.66,1.36,0.272,0.0,0.5,0.4,0.0,0.25,0.5,False
49,49,57,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Joe Musgrove,0.0,Petco Park,31.0,605397,2.91,7.16,8.79,1.02,0.216,0.267,0.0,0.0,0.0,0.0,0.5,True
50,50,58,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Alex Wood,1.0,Truist Park,12.0,622072,4.17,8.73,8.81,1.2,0.254,0.296,0.5,0.2,0.25,0.0,0.0,False
