,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,MatchupAverage,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.5,0.4,0.333,0.5,0.5,0.5,False
1,13510,Jose Ramirez,CLE,29,0.285,0.355,0.551,0.879,608070,114,Nick Pivetta,0.0,Fenway Park,3.0,601713,4.51,8.68,8.61,1.33,.252,0.333,0.0,0.5,0.2,0.5,0.333,True
2,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Drew Hutchison,0.0,Comerica Park,25.0,571800,4.45,9.05,5.64,1.47,.263,0.333,0.6,0.25,0.0,0.0,0.333,False
3,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Ranger Suarez,0.0,Citizens Bank Park,16.0,624133,3.52,8.64,7.46,1.32,.251,0.222,0.2,0.5,0.0,0.667,0.2,False
4,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Ranger Suarez,0.0,Citizens Bank Park,16.0,624133,3.52,8.64,7.46,1.32,.251,0.2,0.333,0.75,0.5,0.333,0.4,True
5,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.333,0.25,0.5,0.4,0.25,0.25,False
7,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Zach Plesac,1.0,Fenway Park,3.0,668676,4.32,9.18,7.06,1.32,.257,0.2,0.25,0.333,0.0,0.0,0.333,True
8,19950,Andres Gimenez,CLE,23,0.303,0.368,0.479,0.746,665926,114,Nick Pivetta,0.0,Fenway Park,3.0,601713,4.51,8.68,8.61,1.33,.252,0.667,0.25,0.5,0.5,0.4,0.0,True
9,13624,Corey Seager,TEX,28,0.252,0.33,0.47,0.753,608369,140,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.86,8.92,6.28,1.39,.255,0.5,0.333,0.333,0.0,0.4,0.5,False
10,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Max Fried,1.0,Citizens Bank Park,16.0,608331,2.60,8.07,8.26,1.08,.237,0.357,0.25,0.5,0.333,0.5,0.75,True
11,19197,Will Smith,LAD,27,0.274,0.361,0.474,0.831,669257,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.0,0.333,0.0,0.0,0.0,1.0,False
12,21479,Nico Hoerner,CHC,25,0.299,0.342,0.419,0.858,663538,112,JT Brubaker,1.0,Wrigley Field,24.0,664141,4.45,9.85,9.29,1.50,.271,0.5,0.0,0.25,0.167,0.75,0.0,True
13,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Jake Odorizzi,1.0,Oakland Coliseum,19.0,543606,4.15,14.54,6.23,2.08,.368,0.375,0.667,0.333,0.333,0.0,0.25,True
14,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Paolo Espino,1.0,Dodger Stadium,17.0,502179,4.04,9.87,6.90,1.27,.276,0.333,0.5,0.5,0.0,0.5,0.0,True
15,11609,Willson Contreras,CHC,30,0.25,0.362,0.457,0.711,575929,112,JT Brubaker,1.0,Wrigley Field,24.0,664141,4.45,9.85,9.29,1.50,.271,0.2,0.25,0.667,0.25,0.0,0.0,True
16,15986,Willy Adames,MIL,26,0.225,0.29,0.458,0.7240000000000001,642715,158,Kyle Freeland,1.0,American Family Field,18.0,607536,4.84,9.89,6.50,1.41,.280,0.0,0.333,0.25,0.167,0.5,0.5,False
17,17919,Ian Happ,CHC,27,0.278,0.356,0.434,0.7490000000000001,664023,112,JT Brubaker,1.0,Wrigley Field,24.0,664141,4.45,9.85,9.29,1.50,.271,0.333,0.25,0.2,0.667,0.25,0.0,True
18,19287,Adolis Garcia,TEX,29,0.255,0.304,0.458,0.68,666969,140,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.86,8.92,6.28,1.39,.255,0.417,1.0,0.25,0.25,0.4,0.25,True
19,12552,Eugenio Suarez,SEA,30,0.226,0.33,0.414,0.6759999999999999,553993,136,Glenn Otto,1.0,T-Mobile Park,27.0,657248,5.20,8.13,7.48,1.42,.245,0.5,0.0,0.0,0.333,0.333,0.0,True
20,17548,Taylor Ward,LAA,28,0.266,0.356,0.453,0.782,621493,108,Zack Greinke,0.0,Kauffman Stadium,5.0,425844,4.29,10.22,5.20,1.34,.284,0.5,0.6,0.25,0.25,0.25,0.0,False
21,17929,Cedric Mullins II,BAL,27,0.266,0.324,0.399,0.8170000000000001,656775,110,Corey Kluber,1.0,Oriole Park at Camden Yards,30.0,446372,4.40,9.41,7.95,1.19,.268,0.333,0.25,0.667,0.5,0.0,0.0,True
