,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Jose Berrios,1.0,Yankee Stadium,6.0,621244,5.19,9.92,8.16,1.35,0.275,0.25,0.0,0.4,0.0,0.4,True
1,1,1,1,1,1,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Chris Paddack,0.0,Target Field,26.0,663978,4.03,10.07,8.06,1.21,0.284,0.5,0.2,0.0,0.333,0.0,True
2,2,2,2,2,2,4,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Josiah Gray,1.0,Truist Park,12.0,680686,4.92,7.9,10.36,1.31,0.233,0.333,0.0,0.333,0.333,0.0,False
3,3,3,3,3,3,6,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Logan Webb,0.0,Oracle Park,9.0,657277,3.17,7.99,7.29,1.15,0.237,0.0,0.25,0.25,0.5,0.2,True
4,4,4,4,4,4,7,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.25,0.25,0.333,0.333,0.0,True
5,5,5,5,5,5,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Josiah Gray,1.0,Truist Park,12.0,680686,4.92,7.9,10.36,1.31,0.233,0.25,0.0,0.25,0.5,0.0,True
6,6,6,6,6,6,9,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Chris Paddack,0.0,Target Field,26.0,663978,4.03,10.07,8.06,1.21,0.284,0.0,0.2,0.25,0.2,0.0,True
7,7,7,7,7,7,10,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Eduardo Rodriguez,0.0,Comerica Park,25.0,593958,4.38,8.08,7.85,1.33,0.233,0.6,0.5,0.25,0.25,0.25,True
8,8,8,8,8,8,11,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Chris Paddack,0.0,Target Field,26.0,663978,4.03,10.07,8.06,1.21,0.284,0.2,0.25,0.25,0.2,0.0,True
9,9,9,9,9,9,13,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Max Scherzer,1.0,Citizens Bank Park,16.0,453286,1.98,6.49,11.29,0.9,0.2,0.5,0.25,0.0,0.0,0.25,True
10,10,10,10,10,10,14,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Jose Berrios,1.0,Yankee Stadium,6.0,621244,5.19,9.92,8.16,1.35,0.275,0.667,0.0,0.0,0.0,0.333,True
11,11,11,11,11,11,16,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Merrill Kelly,0.0,Chase Field,13.0,518876,2.86,7.48,7.41,1.13,0.226,0.0,0.0,0.25,0.0,0.0,True
12,12,12,12,12,12,17,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.333,0.5,0.0,0.5,0.4,True
13,13,13,13,13,13,18,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Clayton Kershaw,1.0,Target Field,26.0,477132,2.64,7.28,9.28,0.98,0.218,0.0,0.667,0.4,0.333,0.0,False
14,14,14,14,14,14,20,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.333,0.2,0.75,0.5,False
15,15,15,15,15,15,21,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Robbie Ray,1.0,Guaranteed Rate Field,23.0,592662,3.96,7.63,10.34,1.19,0.229,0.333,0.5,0.5,0.0,0.0,False
16,16,16,16,16,16,22,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Shane McClanahan,0.0,Tropicana Field,21.0,663556,2.24,5.89,11.29,0.83,0.184,0.0,0.25,0.0,0.0,0.25,True
17,17,17,17,17,17,23,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Logan Webb,0.0,Oracle Park,9.0,657277,3.17,7.99,7.29,1.15,0.237,0.5,0.4,0.0,0.25,0.333,True
18,18,18,18,18,18,24,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.333,0.0,0.0,0.2,0.2,True
19,19,19,19,19,19,25,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.0,0.0,0.5,0.0,0.0,False
20,20,20,20,20,20,26,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,0.269,0.333,0.333,0.0,0.0,0.0,True
21,21,21,21,21,21,27,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,0.269,0.333,0.25,0.0,0.333,0.0,True
22,22,22,22,22,22,28,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.0,0.0,0.333,0.5,0.5,True
23,23,23,23,23,23,29,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Chris Paddack,0.0,Target Field,26.0,663978,4.03,10.07,8.06,1.21,0.284,0.5,0.333,0.333,0.5,0.0,True
24,24,24,24,24,24,30,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Merrill Kelly,0.0,Chase Field,13.0,518876,2.86,7.48,7.41,1.13,0.226,0.25,0.4,0.0,0.5,0.5,False
25,25,25,25,25,25,31,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.333,0.0,0.5,0.0,0.0,True
26,26,26,26,26,26,32,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Merrill Kelly,0.0,Chase Field,13.0,518876,2.86,7.48,7.41,1.13,0.226,0.0,0.0,0.333,0.4,0.0,False
27,27,27,27,27,27,33,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Logan Webb,0.0,Oracle Park,9.0,657277,3.17,7.99,7.29,1.15,0.237,0.25,0.25,0.667,0.333,0.0,True
28,28,28,28,28,28,34,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,John Means,0.0,Oriole Park at Camden Yards,30.0,607644,3.38,9.0,7.88,1.25,0.258,0.5,0.0,0.333,0.25,0.4,False
