,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Dallas Keuchel,0,Guaranteed Rate Field,23,572971,9.64,13.02,8.68,1.82,0.329,0.667,0.5,0.25,0.4,0.333,True
1,1,1,1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Jakob Junis,1,Busch Stadium,15,596001,3.05,7.84,7.69,1.1,0.23,0.0,0.333,0.25,0.0,0.0,True
2,2,2,2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Jakob Junis,1,Busch Stadium,15,596001,3.05,7.84,7.69,1.1,0.23,0.5,0.25,0.667,0.25,0.5,True
3,3,3,3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.2,0.333,0.25,0.0,False
4,4,4,4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Devin Smeltzer,0,Target Field,26,656970,4.02,8.47,5.31,1.21,0.25,0.4,0.25,0.0,0.333,0.2,False
5,5,5,5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Sean Manaea,1,Truist Park,12,640455,4.74,8.53,9.32,1.32,0.247,0.5,0.0,0.0,0.667,0.0,False
6,6,6,6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Erick Fedde,0,Nationals Park,29,607200,4.95,9.32,6.8,1.54,0.269,0.5,0.6,0.4,0.0,0.0,False
7,7,7,7,7,7,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,0.23,0.0,0.5,0.333,0.25,0.5,False
8,8,8,8,8,8,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Sean Manaea,1,Truist Park,12,640455,4.74,8.53,9.32,1.32,0.247,0.0,0.333,0.0,0.2,0.0,True
9,9,9,9,9,9,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.333,0.0,0.0,0.25,0.4,True
10,10,10,10,10,10,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.2,0.25,0.5,0.75,0.5,True
11,11,11,11,11,11,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.2,0.75,0.25,0.5,0.25,True
12,12,12,12,12,12,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.4,0.0,0.6,0.5,0.2,True
13,13,13,13,13,13,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Julio Urias,0,Dodger Stadium,17,628711,2.49,6.97,8.58,0.97,0.21,0.0,0.5,0.0,0.4,0.25,False
14,14,14,14,14,14,9874,DJ LeMahieu,NYY,33,0.286,0.388,0.429,0.8809999999999999,518934,147,Dallas Keuchel,0,Guaranteed Rate Field,23,572971,9.64,13.02,8.68,1.82,0.329,0.0,0.6,0.5,0.25,0.0,True
15,15,15,15,15,15,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Jakob Junis,1,Busch Stadium,15,596001,3.05,7.84,7.69,1.1,0.23,0.0,0.25,0.2,0.25,0.0,True
16,16,16,16,16,17,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Devin Smeltzer,0,Target Field,26,656970,4.02,8.47,5.31,1.21,0.25,0.25,0.0,0.4,0.333,0.5,True
17,17,17,17,17,18,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Rich Hill,1,Globe Life Field,14,448179,4.75,9.39,6.84,1.35,0.266,0.0,0.0,0.25,0.667,0.0,True
18,18,18,18,18,20,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Ranger Suarez,1,Dodger Stadium,17,624133,3.68,8.97,7.62,1.37,0.258,0.75,0.25,0.2,0.0,0.5,True
