,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Tyler Wells,1.0,Yankee Stadium,6.0,669330,3.9,7.8,6.46,1.11,0.232,0.0,0.667,0.25,0.75,0.333,True
1,1,1,1,1,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,0.0,0.6,0.0,0.0,0.6,False
2,2,2,2,2,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,0.191,0.5,0.4,0.0,0.5,0.25,True
3,3,3,3,3,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Ranger Suarez,1.0,Truist Park,12.0,624133,3.68,8.97,7.62,1.37,0.258,0.75,0.5,0.25,0.25,0.25,True
4,4,4,4,4,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Cal Quantrill,1.0,Minute Maid Park,32.0,615698,3.88,9.0,5.78,1.28,0.265,0.25,0.0,0.25,0.5,0.0,False
5,5,5,5,5,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Aaron Ashby,1.0,Petco Park,31.0,676879,4.32,8.86,10.86,1.46,0.251,0.5,0.0,1.0,0.2,0.6,False
6,6,6,6,6,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.5,0.2,0.5,0.0,0.2,True
7,7,7,7,7,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Ranger Suarez,1.0,Truist Park,12.0,624133,3.68,8.97,7.62,1.37,0.258,0.5,0.5,0.0,0.0,0.0,True
8,8,8,8,8,13611,Mookie Betts,LAD,29,0.276,0.345,0.535,0.867,605141,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,0.75,0.667,0.25,0.75,0.2,False
9,9,9,9,9,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.91,9.99,10.16,1.5,0.283,0.4,0.25,0.75,0.0,0.2,True
10,10,10,10,10,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,0.25,0.25,0.6,0.2,0.5,True
11,11,11,11,11,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Lucas Giolito,0.0,Guaranteed Rate Field,23.0,608337,4.91,9.99,10.16,1.5,0.283,0.25,0.0,0.5,0.0,0.2,True
12,12,12,12,12,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Charlie Morton,0.0,Truist Park,12.0,450203,4.26,7.63,10.35,1.21,0.23,0.333,0.5,0.0,0.0,0.25,True
13,13,13,13,14,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Cal Quantrill,1.0,Minute Maid Park,32.0,615698,3.88,9.0,5.78,1.28,0.265,0.5,0.25,0.5,0.0,0.8,True
14,14,14,14,15,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Cristian Javier,0.0,Minute Maid Park,32.0,664299,3.14,6.19,11.84,1.05,0.191,0.0,0.0,0.0,0.25,0.333,True
15,15,15,15,16,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,0.0,0.0,0.5,0.25,0.25,True
16,16,16,16,17,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.25,0.4,0.25,0.667,0.25,True
17,17,17,17,18,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Rony Garcia,1.0,Target Field,26.0,665621,4.41,7.06,8.47,1.04,0.213,0.0,0.0,0.0,0.0,0.0,False
18,18,18,18,19,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,0.25,0.25,0.25,0.333,0.25,False
19,19,19,19,20,15362,Jeff McNeil,NYM,30,0.306,0.362,0.445,0.852,643446,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.75,0.5,0.25,0.0,0.4,False
20,20,20,20,21,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Rich Hill,1.0,Guaranteed Rate Field,23.0,448179,4.75,9.39,6.84,1.35,0.266,0.667,0.25,0.5,0.2,0.0,True
21,21,21,21,23,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Aaron Ashby,1.0,Petco Park,31.0,676879,4.32,8.86,10.86,1.46,0.251,0.25,0.25,0.4,0.0,0.25,True
22,22,22,22,24,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Jakob Junis,0.0,Oracle Park,9.0,596001,3.05,7.84,7.69,1.1,0.23,0.0,0.6,0.0,0.5,0.4,False
23,23,23,23,25,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.5,0.0,0.0,0.0,0.0,False
24,24,24,24,26,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.0,0.25,0.0,0.25,0.25,True
25,25,25,25,27,19955,Gavin Lux,LAD,24,0.297,0.37,0.425,0.8190000000000001,666158,119,Erick Fedde,0.0,Nationals Park,29.0,607200,4.95,9.32,6.8,1.54,0.269,0.0,0.5,0.0,0.333,0.25,True
26,26,26,26,28,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Cal Quantrill,1.0,Minute Maid Park,32.0,615698,3.88,9.0,5.78,1.28,0.265,0.25,0.25,0.5,0.0,0.5,True
27,27,27,27,30,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Aaron Ashby,1.0,Petco Park,31.0,676879,4.32,8.86,10.86,1.46,0.251,0.0,0.2,0.333,0.667,0.6,False
28,28,28,28,33,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Ryan Feltner,1.0,PNC Park,10.0,663372,6.02,10.1,7.96,1.42,0.28,0.0,1.0,0.0,0.2,0.25,False
29,29,29,29,34,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Charlie Morton,0.0,Truist Park,12.0,450203,4.26,7.63,10.35,1.21,0.23,0.2,0.25,0.0,0.25,0.0,False
30,30,30,30,35,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Luis Castillo,0.0,Great American Ball Park,8.0,622491,1.84,4.91,9.2,0.89,0.163,0.0,0.667,0.5,0.5,0.0,True
31,31,31,31,36,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Paul Blackburn,1.0,T-Mobile Park,27.0,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.333,0.25,0.5,0.25,False
32,32,32,32,37,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Paul Blackburn,1.0,T-Mobile Park,27.0,621112,4.28,8.89,7.19,1.26,0.255,0.333,0.5,0.4,0.2,0.5,True
33,33,33,33,38,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Rony Garcia,1.0,Target Field,26.0,665621,4.41,7.06,8.47,1.04,0.213,0.5,1.0,0.6,0.667,0.0,True
34,34,34,34,39,19287,Adolis Garcia,TEX,29,0.248,0.298,0.456,0.677,666969,140,Reid Detmers,0.0,Angel Stadium,4.0,672282,3.44,6.27,8.29,1.04,0.196,0.5,0.0,0.5,0.0,0.25,False
