,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,0,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Mitch Keller,1.0,Busch Stadium,15.0,656605,4.21,9.59,7.4,1.42,0.274,0.2,0.667,0.5,0.333,0.0,False
1,1,1,1,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Mitch Keller,1.0,Busch Stadium,15.0,656605,4.21,9.59,7.4,1.42,0.274,0.0,0.0,0.0,0.333,0.25,True
2,2,2,2,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Erasmo Ramirez,0.0,Nationals Park,29.0,541640,3.61,9.73,5.97,1.26,0.282,0.25,0.5,0.75,0.25,0.25,True
3,3,3,3,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Taylor Hearn,0.0,Globe Life Field,14.0,621368,5.21,10.17,8.48,1.59,0.28,0.75,0.0,0.6,0.75,0.333,True
4,4,4,4,11493,Manny Machado,SDP,29,0.29,0.362,0.509,0.7759999999999999,592518,135,Justin Steele,0.0,Wrigley Field,24.0,657006,3.67,8.66,9.13,1.41,0.247,0.5,0.0,0.0,0.5,0.5,True
5,5,5,5,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Erasmo Ramirez,0.0,Nationals Park,29.0,541640,3.61,9.73,5.97,1.26,0.282,0.0,0.5,0.0,0.25,0.5,False
6,6,6,6,11739,J.T. Realmuto,PHI,31,0.268,0.339,0.455,0.784,592663,143,Sandy Alcantara,1.0,Citizens Bank Park,16.0,645261,1.88,6.14,8.01,0.93,0.195,0.75,0.0,0.0,0.2,0.0,False
7,7,7,7,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Mitch Keller,1.0,Busch Stadium,15.0,656605,4.21,9.59,7.4,1.42,0.274,0.4,0.4,0.333,0.0,0.333,True
8,8,8,8,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Taylor Hearn,0.0,Globe Life Field,14.0,621368,5.21,10.17,8.48,1.59,0.28,0.6,0.2,0.0,0.333,0.25,True
9,9,9,9,13624,Corey Seager,TEX,28,0.25,0.329,0.475,0.7559999999999999,608369,140,Cristian Javier,1.0,Globe Life Field,14.0,664299,3.14,6.19,11.84,1.05,0.191,0.0,0.2,0.25,0.0,0.0,True
10,10,10,10,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Chris Flexen,0.0,T-Mobile Park,27.0,623167,3.92,9.0,6.23,1.37,0.257,0.0,0.4,0.5,0.5,0.25,True
11,11,11,11,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Rony Garcia,0.0,Comerica Park,25.0,665621,4.41,7.06,8.47,1.04,0.213,0.2,0.2,0.333,0.0,0.0,True
12,12,12,12,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Justin Steele,0.0,Wrigley Field,24.0,657006,3.67,8.66,9.13,1.41,0.247,0.0,0.0,0.333,0.25,0.75,True
13,13,13,13,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Yu Darvish,1.0,Wrigley Field,24.0,506433,3.28,7.24,8.84,1.0,0.217,0.0,0.0,0.167,0.333,0.333,True
14,14,14,14,21479,Nico Hoerner,CHC,25,0.297,0.34,0.411,0.857,663538,112,Yu Darvish,1.0,Wrigley Field,24.0,506433,3.28,7.24,8.84,1.0,0.217,0.25,0.333,0.0,0.25,0.4,False
15,15,15,15,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Taylor Hearn,0.0,Globe Life Field,14.0,621368,5.21,10.17,8.48,1.59,0.28,0.5,0.25,0.2,0.25,0.333,False
16,16,16,16,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Taylor Hearn,0.0,Globe Life Field,14.0,621368,5.21,10.17,8.48,1.59,0.28,0.2,0.25,0.25,0.333,0.333,True
17,17,17,17,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Justin Steele,0.0,Wrigley Field,24.0,657006,3.67,8.66,9.13,1.41,0.247,0.0,0.25,0.25,0.25,0.5,True
18,18,18,18,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Mike Minor,1.0,Chase Field,13.0,501985,6.24,10.02,7.84,1.56,0.276,0.2,0.25,0.75,0.0,0.2,True
19,19,19,19,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Sandy Alcantara,1.0,Citizens Bank Park,16.0,645261,1.88,6.14,8.01,0.93,0.195,0.0,0.5,0.75,0.25,0.2,True
20,20,20,20,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Yu Darvish,1.0,Wrigley Field,24.0,506433,3.28,7.24,8.84,1.0,0.217,1.0,0.0,0.2,0.25,0.2,True
21,21,21,21,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Chris Archer,1.0,T-Mobile Park,27.0,502042,4.02,7.01,7.58,1.29,0.212,0.0,0.667,0.2,0.333,0.333,False
22,22,22,22,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Chris Archer,1.0,T-Mobile Park,27.0,502042,4.02,7.01,7.58,1.29,0.212,0.0,0.25,0.5,0.5,0.25,True
