,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
0,0,0,15640,Aaron Judge,NYY,30,0.303,0.393,0.675,0.736,592450,147,Jose Urquidy,1,Yankee Stadium,6,664353,3.85,8.52,7.09,1.16,0.245,0.0,0.0,0.4,0.4,0.0,True
1,1,1,9777,Nolan Arenado,STL,31,0.3,0.369,0.55,0.81,571448,138,Alec Mills,1,Busch Stadium,15,621219,9.68,14.26,5.6,1.75,0.364,0.75,0.0,0.5,0.5,0.5,True
2,2,2,9218,Paul Goldschmidt,STL,34,0.329,0.413,0.609,0.768,502671,138,Alec Mills,1,Busch Stadium,15,621219,9.68,14.26,5.6,1.75,0.364,0.5,0.0,0.5,0.333,0.0,True
3,3,3,5361,Freddie Freeman,LAD,32,0.323,0.4,0.524,0.8290000000000001,518692,119,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.25,0.333,0.4,0.5,0.75,True
4,4,4,13510,Jose Ramirez,CLE,29,0.284,0.355,0.55,0.877,608070,114,Rich Hill,1,Progressive Field,7,448179,4.75,9.39,6.84,1.35,0.266,0.0,0.2,0.25,0.25,0.2,True
5,5,5,18314,Dansby Swanson,ATL,28,0.292,0.348,0.464,0.7090000000000001,621020,144,Tony Gonsolin,1,Truist Park,12,664062,2.3,5.66,8.37,0.89,0.178,0.5,0.5,0.75,0.25,0.4,True
6,6,6,19556,Yordan Alvarez,HOU,25,0.297,0.403,0.63,0.802,670541,117,Nestor Cortes,0,Yankee Stadium,6,641482,2.57,6.91,9.24,1.02,0.208,0.0,0.333,0.4,0.5,0.333,False
7,7,8,12916,Francisco Lindor,NYM,28,0.268,0.344,0.462,0.7879999999999999,596019,121,Daniel Castano,0,loanDepot park,20,641447,4.04,10.6,5.05,1.43,0.292,0.4,0.5,0.5,0.0,0.2,False
8,8,9,18360,Austin Riley,ATL,25,0.298,0.359,0.594,0.7390000000000001,663586,144,Tony Gonsolin,1,Truist Park,12,664062,2.3,5.66,8.37,0.89,0.178,0.5,0.0,0.0,0.25,0.25,False
9,9,11,17350,Rafael Devers,BOS,25,0.31,0.367,0.586,0.73,646240,111,Aaron Civale,0,Progressive Field,7,650644,6.17,10.67,8.67,1.46,0.295,0.25,0.5,0.25,0.333,0.5,True
10,10,12,16252,Trea Turner,LAD,29,0.306,0.346,0.502,0.76,607208,119,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.5,0.6,0.6,0.0,0.8,True
11,11,13,12161,Xander Bogaerts,BOS,29,0.31,0.381,0.452,0.76,593428,111,Aaron Civale,0,Progressive Field,7,650644,6.17,10.67,8.67,1.46,0.295,0.25,0.333,0.5,0.0,0.0,False
12,12,16,19470,Tommy Edman,STL,27,0.258,0.322,0.367,0.821,669242,138,Alec Mills,1,Busch Stadium,15,621219,9.68,14.26,5.6,1.75,0.364,0.2,0.25,0.0,0.25,0.2,False
13,13,17,5417,Jose Altuve,HOU,32,0.286,0.368,0.513,0.851,514888,117,Nestor Cortes,0,Yankee Stadium,6,641482,2.57,6.91,9.24,1.02,0.208,0.333,0.0,0.75,0.0,0.25,True
14,14,18,19950,Andres Gimenez,CLE,23,0.302,0.365,0.484,0.743,665926,114,Rich Hill,1,Progressive Field,7,448179,4.75,9.39,6.84,1.35,0.266,0.25,0.75,0.333,0.25,0.4,True
15,15,19,12927,Brandon Nimmo,NYM,29,0.271,0.355,0.425,0.83,607043,121,Daniel Castano,0,loanDepot park,20,641447,4.04,10.6,5.05,1.43,0.292,0.6,0.25,0.333,0.2,0.6,True
16,16,20,14161,Byron Buxton,MIN,28,0.222,0.301,0.549,0.6890000000000001,621439,142,Ryan Feltner,1,Target Field,26,663372,6.02,10.1,7.96,1.42,0.28,0.2,0.0,0.0,0.333,0.4,True
17,17,21,19197,Will Smith,LAD,27,0.275,0.361,0.477,0.8290000000000001,669257,119,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.25,0.4,0.2,0.6,0.5,True
18,18,23,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Jordan Lyles,1,Guaranteed Rate Field,23,543475,4.35,10.01,7.25,1.44,0.279,0.25,0.0,0.5,0.333,0.333,True
19,19,25,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Kyle Gibson,1,Petco Park,31,502043,4.36,8.01,6.85,1.17,0.238,0.0,0.0,0.0,0.0,0.333,False
20,20,26,19251,Pete Alonso,NYM,27,0.278,0.357,0.541,0.777,624413,121,Daniel Castano,0,loanDepot park,20,641447,4.04,10.6,5.05,1.43,0.292,0.5,0.0,0.0,1.0,0.0,True
21,21,27,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Chi Chi Gonzalez,0,American Family Field,18,592346,6.35,9.53,6.35,1.41,0.273,0.0,1.0,0.4,0.2,0.0,True
22,22,28,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Jack Flaherty,0,Busch Stadium,15,656427,5.62,9.0,6.75,2.13,0.25,0.333,0.333,0.0,0.0,0.0,True
