,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
3,5361,Freddie Freeman,LAD,32,0.324,0.4,0.523,0.8270000000000001,518692,119,Alex Cobb,0,Oracle Park,9,502171,4.15,8.87,9.64,1.29,.253,0.2,0.6,0.6,0.5,0.0,False
4,11493,Manny Machado,SDP,29,0.296,0.365,0.519,0.7759999999999999,592518,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.70,6.64,1.52,.273,0.0,0.0,0.25,0.0,0.2,True
5,12916,Francisco Lindor,NYM,28,0.27,0.348,0.462,0.7909999999999999,596019,121,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.333,0.2,0.6,0.75,0.5,True
6,19556,Yordan Alvarez,HOU,25,0.296,0.401,0.63,0.799,670541,117,Rich Hill,1,Minute Maid Park,32,448179,4.75,9.39,6.84,1.35,.266,0.25,0.0,0.2,0.0,1.0,False
7,18314,Dansby Swanson,ATL,28,0.292,0.345,0.46,0.7070000000000001,621020,144,Zack Wheeler,1,Truist Park,12,554430,2.63,7.25,9.73,1.03,.218,0.75,0.25,0.25,0.5,0.5,True
8,18360,Austin Riley,ATL,25,0.297,0.357,0.589,0.741,663586,144,Zack Wheeler,1,Truist Park,12,554430,2.63,7.25,9.73,1.03,.218,0.25,0.5,0.25,0.75,0.0,True
9,13611,Mookie Betts,LAD,29,0.272,0.344,0.53,0.8640000000000001,605141,119,Alex Cobb,0,Oracle Park,9,502171,4.15,8.87,9.64,1.29,.253,0.6,0.2,0.2,0.0,0.333,False
10,17350,Rafael Devers,BOS,25,0.307,0.364,0.577,0.733,646240,111,Jose Urquidy,0,Minute Maid Park,32,664353,3.85,8.52,7.09,1.16,.245,0.5,0.333,0.0,0.333,0.25,False
11,16252,Trea Turner,LAD,29,0.309,0.348,0.503,0.758,607208,119,Alex Cobb,0,Oracle Park,9,502171,4.15,8.87,9.64,1.29,.253,0.25,0.333,0.2,0.25,0.2,False
12,12161,Xander Bogaerts,BOS,29,0.307,0.378,0.448,0.763,593428,111,Jose Urquidy,0,Minute Maid Park,32,664353,3.85,8.52,7.09,1.16,.245,0.0,0.4,0.333,0.0,0.5,True
13,9874,DJ LeMahieu,NYY,33,0.282,0.385,0.422,0.882,518934,147,Luis Castillo,1,Yankee Stadium,6,622491,1.84,4.91,9.20,0.89,.163,0.4,0.75,0.4,0.6,0.0,False
14,5417,Jose Altuve,HOU,32,0.28,0.367,0.503,0.852,514888,117,Rich Hill,1,Minute Maid Park,32,448179,4.75,9.39,6.84,1.35,.266,0.4,0.25,0.667,0.25,0.0,True
16,14161,Byron Buxton,MIN,28,0.223,0.303,0.545,0.685,621439,142,Tyler Alexander,1,Target Field,26,641302,3.83,8.94,4.74,1.20,.262,0.0,0.667,0.333,0.0,0.4,True
17,11739,J.T. Realmuto,PHI,31,0.263,0.332,0.445,0.779,592663,143,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,.230,0.0,0.6,1.0,0.0,0.5,False
19,15362,Jeff McNeil,NYM,30,0.306,0.36,0.446,0.853,643446,121,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.25,0.667,0.6,0.5,0.2,True
20,12927,Brandon Nimmo,NYM,29,0.267,0.352,0.417,0.828,607043,121,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.0,0.8,0.167,0.2,0.4,True
21,15676,Jose Abreu,CHW,35,0.296,0.373,0.46,0.79,547989,145,Brady Singer,1,Guaranteed Rate Field,23,663903,3.49,8.36,9.18,1.15,.248,0.4,0.0,0.5,0.333,0.25,True
23,19352,Sean Murphy,OAK,27,0.243,0.321,0.424,0.775,669221,133,Shohei Ohtani,0,Angel Stadium,4,660271,2.68,7.22,12.73,1.05,.214,0.667,0.0,0.25,0.0,0.0,True
24,18036,Jake Cronenworth,SDP,28,0.239,0.341,0.387,0.847,630105,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.70,6.64,1.52,.273,0.667,0.333,0.0,0.5,0.25,True
25,19251,Pete Alonso,NYM,27,0.281,0.361,0.54,0.778,624413,121,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.0,0.667,0.4,0.0,0.0,True
26,18345,Kyle Tucker,HOU,25,0.249,0.336,0.466,0.8079999999999999,663656,117,Rich Hill,1,Minute Maid Park,32,448179,4.75,9.39,6.84,1.35,.266,0.0,0.0,0.25,0.0,0.25,True
27,17678,Alex Bregman,HOU,28,0.255,0.364,0.43,0.861,608324,117,Rich Hill,1,Minute Maid Park,32,448179,4.75,9.39,6.84,1.35,.266,0.333,0.0,0.333,0.5,0.5,True
28,22581,Alejandro Kirk,TOR,23,0.302,0.384,0.457,0.856,672386,141,Jalen Beeks,0,Tropicana Field,21,656222,2.35,7.24,10.76,1.20,.219,0.0,0.0,0.25,0.667,0.0,False
29,19955,Gavin Lux,LAD,24,0.296,0.372,0.423,0.818,666158,119,Alex Cobb,0,Oracle Park,9,502171,4.15,8.87,9.64,1.29,.253,0.5,0.0,0.0,0.0,0.0,False
30,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.358,0.504,0.784,665489,141,Jalen Beeks,0,Tropicana Field,21,656222,2.35,7.24,10.76,1.20,.219,0.5,0.333,0.5,0.333,0.25,True
32,16505,Matt Chapman,TOR,29,0.24,0.32,0.47,0.737,656305,141,Jalen Beeks,0,Tropicana Field,21,656222,2.35,7.24,10.76,1.20,.219,0.0,0.667,0.0,0.333,0.667,False
33,10815,Jurickson Profar,SDP,29,0.254,0.345,0.416,0.831,595777,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.70,6.64,1.52,.273,0.833,0.5,0.5,0.5,0.4,False
34,15986,Willy Adames,MIL,26,0.225,0.29,0.458,0.7240000000000001,642715,158,Tyler Beede,0,PNC Park,10,595881,3.49,7.91,6.05,1.32,.230,0.4,0.25,0.0,0.6,0.25,True
